split,sample_id,location,selected,category,figure,iou_water_5sa,iou_water_v3,delta_iou_water,f1_water_5sa,f1_water_v3,viol_frac_5sa,viol_frac_v3,delta_viol_frac,viol_pairs_5sa,viol_pairs_v3,desc_pairs,water_frac_5sa,water_frac_v3
valid,Spain_8565131,Spain,False,,,0.780176175187289,0.773766724123779,-0.0064094510635099855,0.8765156910441273,0.8724560153263797,0.004022112012170058,0.0037647275758611815,-0.00025738443630887644,2094,1960,520622,0.2127676622762168,0.21250057233558706
valid,Somalia_12849,Somalia,False,,,0.7165886635465418,0.7073075420085971,-0.009281121537944692,0.834898515601333,0.8285648889906158,0.006803117874754759,0.006553899994697492,-0.000249217880057267,2566,2472,377180,0.21971542378020095,0.2166731137154865
valid,Spain_6537196,Spain,False,,,0.46238745280278826,0.4324729891956783,-0.029914463607109976,0.6323733862959285,0.6038131154410226,0.0009454635929530426,0.0006966573842811893,-0.0002488062086718533,494,364,522495,0.007588532883642495,0.0065889373001762645
test,USA_430764,USA,False,,,0.6008871365204534,0.5777945239889475,-0.023092612531505963,0.7506926913367404,0.7324078201617525,0.0027186234314346336,0.0024737368732195503,-0.00024488655821508325,1421,1293,522691,0.06501562160244452,0.060910897736679674
test,Mekong_1443339,Mekong,False,,,0.9154862374377479,0.9106534492420147,-0.004832788195733184,0.9558786897496574,0.9532376994931078,0.003273589967138354,0.003030480853061498,-0.00024310911407685607,1562,1446,477152,0.734770251969405,0.7343773246609572
test,Sri-Lanka_922192,Sri-Lanka,False,,,0.2862015503875969,0.4176190476190476,0.1314174972314507,0.4450337512054001,0.5891837420221699,0.0006338861047060725,0.00039990130095550886,-0.00023398480375056368,298,188,470116,0.013003423929135926,0.008119841690194885
valid,India_691027,India,False,,,0.42248095197328994,0.41351853490223833,-0.00896241707105161,0.5940057775637939,0.5850910684108406,0.0014950238766446257,0.0012624204277517782,-0.00023260344889284744,752,635,503002,0.032365746317422076,0.029850334994528292
test,Ghana_866994,Ghana,False,,,0.4574589621790632,0.46573401350028343,0.00827505132122025,0.6277486694995669,0.6354959483925401,0.00023234200743494423,0.0,-0.00023234200743494423,1,0,4304,0.5420939316319323,0.5506037732637795
bolivia,Bolivia_290290,Bolivia,False,,,0.4239188990645967,0.4470933072789448,0.02317440821434813,0.5954256233877901,0.6179191141718993,0.0019558411232328643,0.0017253047170723364,-0.0002305364061605279,789,696,403407,0.0458186118563477,0.048491690001123966
test,Paraguay_913449,Paraguay,False,,,0.36338582677165354,0.3166458072590738,-0.04674001951257972,0.5330638174992781,0.48098859315589354,0.0012390223196103963,0.0010210461707900488,-0.00021797614882034747,648,534,522993,0.018585205078125,0.015071868896484375
bolivia,Bolivia_294583,Bolivia,False,,,0.7102318392581144,0.6973151435868685,-0.01291669567124587,0.83056790659003,0.8216684405622638,0.0010058566110034617,0.0007881387298338812,-0.00021771788116958042,231,181,229655,0.09699399104788767,0.09380556747807958
test,Paraguay_232281,Paraguay,False,,,0.47020498170701147,0.5074004624151177,0.03719548070810624,0.6396454746889382,0.6732125603864734,0.0029815032127608336,0.002769357791852851,-0.00021214542090798247,1560,1449,523226,0.2232666015625,0.20341110229492188
