split,tile_idx,d8_vf_gt_w,d8_vf_pred_w,d8_H_R_w,d8_H_R_uw,d8_E_gt,d8_E_yhat,d8_E_soft,d8_dE_w,d8_n_active,d4_vf_gt_w,d4_vf_pred_w,d4_H_R_w,d4_E_gt,d4_E_yhat,d4_dE_w,d4_n_active
val,56,0.0013376007795548968,0.0006161572916352041,-0.0007214434879196926,-0.0007997969377834571,0.0012071845964468457,0.0005560819783718813,1.4406065846954387e-05,-0.0006511026180749644,208803,0.0012275553153398315,0.0005872088982885818,-0.0006403464170512496,0.0011078686468647043,0.0005299560286029872,-0.0005779126182617171,423172
val,57,0.0004100829595381718,7.341405021200102e-05,-0.00033666890932617077,-0.0009617790566745865,0.0003700998228856576,6.625617633474628e-05,2.8075621500555083e-06,-0.0003038436465509113,255776,0.00035209709744728467,7.17873025574172e-05,-0.0002803097948898675,0.0003177676241473214,6.47880401819564e-05,-0.00025297958396536496,512930
val,58,0.01074599611853582,0.002738835593725167,-0.008007160524810654,-0.012564426405732009,0.009698260618607145,0.002471799179233327,4.974031772637926e-05,-0.007226461439373818,244659,0.010214222203127636,0.0026294634231293153,-0.007584758779998322,0.009218335757661154,0.0023730907103852064,-0.006845245047275947,494312
val,59,0.003053373525125196,0.00023596014823562517,-0.002817413376889571,-0.0019106345844081382,0.0027556694556056527,0.00021295403742084955,1.0430915719862063e-05,-0.0025427154181848033,260123,0.0024171159342851554,0.0002129787775350489,-0.0022041371567501065,0.002181446950757023,0.0001922133446630856,-0.0019892336060939376,522495
val,60,0.0009452995265953923,2.1722802551132843e-05,-0.0009235767240442595,-0.0010228069451890915,0.0008531328749343844,1.9604826828568303e-05,1.4637206612429694e-06,-0.0008335280481058161,242470,0.0006638733143436448,2.5526639522221278e-05,-0.0006383466748214235,0.0005991456300705396,2.303779130313413e-05,-0.0005761078387674055,485597
val,61,0.006858976832066754,0.002027835883917499,-0.004831140948149255,-0.007321090371878961,0.006190225822137066,0.0018301218790188055,3.4596026541847196e-05,-0.00436010394311826,259251,0.005759991424132833,0.0016766307189377489,-0.004083360705195084,0.0051983924642480216,0.001513159240043466,-0.0036852332242045555,522922
val,62,0.006563755324703185,0.0018157469132555827,-0.004748008411447601,-0.007899860271947143,0.005923788804705724,0.0016387115586050712,3.011514622070423e-05,-0.004285077246100653,258359,0.006049348820938563,0.0016793524382705037,-0.00436999638266806,0.005459537038373589,0.001515615489487219,-0.00394392154888637,520622
val,63,0.0011570040141861719,3.0319263050236536e-06,-0.0011539720878811482,-0.0018144546405642497,0.0010441960770384302,2.736313400032077e-06,7.707596648916187e-08,-0.0010414597636383982,259031,0.000986306371608948,1.992877076772089e-06,-0.000984313494532176,0.0008901415000442892,1.7985714934467468e-06,-0.0008883429285508424,520227
val,64,0.006230465457006822,0.00032497081885391794,-0.0059054946381529045,-0.010206162167568755,0.005622994594564928,0.0002932861517260513,2.980781135978533e-06,-0.0053297084428388765,259941,0.0049642461833650795,0.0002488722366066289,-0.00471537394675845,0.004480232108504249,0.00022460718415401882,-0.0042556249243502296,521867
val,65,0.0003799088132985495,0.005066289392203458,0.004686380578904909,0.004682808313454234,0.0003428677180208798,0.004572325825107837,1.4607953390088923e-06,0.004229458107086957,204151,0.00041093624412209074,0.004121327420038205,0.003710391175916114,0.00037086996645650555,0.0037194980711972307,0.003348628104740725,408860
val,66,0.0037570152259772554,3.123685118486574e-05,-0.0037257783747923897,-0.002161288576487956,0.003390706207082236,2.8191256879459817e-05,7.597191576351768e-07,-0.0033625149502027763,258642,0.0030158319818266817,2.8892183738778285e-05,-0.0029869397980879036,0.0027217882427216155,2.6075195372652264e-05,-0.0026957130473489635,520186
val,67,0.0003115869314442091,8.075214687152933e-05,-0.0002308347845726798,-0.0002670522041015523,0.0002812072079840369,7.287880675306122e-05,3.3038768413466906e-06,-0.00020832840123097566,217186,0.00023844950354193965,5.295652862484431e-05,-0.00018549297491709534,0.00021520066154046583,4.779326581331294e-05,-0.00016740739572715287,434847
val,68,0.006422410479028182,0.0004500172750129043,-0.005972393204015277,-0.004804956692166629,0.0057962251139692155,0.0004061405758703163,5.457340548213896e-06,-0.0053900845380988995,173987,0.005869126783231415,0.0005348597006504007,-0.005334267082581014,0.005296886505317088,0.0004827108684060023,-0.004814175636911086,351773
val,69,9.281584487641808e-06,1.2811831510970309e-06,-8.000401336544777e-06,-2.355302020378062e-05,8.376629956927857e-06,1.1562678046572892e-06,1.910548255894602e-06,-7.220362152270568e-06,212287,1.4094575751951636e-05,3.0404534902105233e-06,-1.1054122261741112e-05,1.2720353975206651e-05,2.7440092017887903e-06,-9.976344773417861e-06,426177
val,70,0.0011263997454740511,4.7473443754714206e-05,-0.001078926301719337,-0.0023119038125325804,0.0010165758694979695,4.2844779114807506e-05,5.541745316614602e-07,-0.000973731090383162,260824,0.0010152941232655713,3.805062797956035e-05,-0.000977243495286011,0.0009163029476389025,3.434069148548827e-05,-0.0008819622561534143,523227
val,71,0.0005230750150181035,5.7350136006524834e-05,-0.0004657248790115787,-0.000946640194854366,0.0004720751720036197,5.1758499018161016e-05,4.037524503219084e-06,-0.0004203166729854587,195428,0.00040282589652734097,3.323859169585446e-05,-0.0003695873048314865,0.00036355035921156655,2.9997829401137357e-05,-0.0003335525298104292,391743
val,72,0.0008317853325508659,0.00024719192437214183,-0.0005845934081787241,-0.00041456823486058067,0.0007506862714752213,0.00022309070289779325,1.4044209683118897e-05,-0.000527595568577428,260512,0.0007105599196242096,0.00020358825292561897,-0.0005069716666985906,0.0006412803214561462,0.00018373838907066972,-0.00045754193238547655,522382
val,73,0.0004674219951692694,7.844648683265837e-05,-0.00038897550833661104,-0.0006214277494341915,0.0004218483310076152,7.079795523903642e-05,5.66694819422054e-06,-0.0003510503757685788,260690,0.00043612680362666544,6.158007224216877e-05,-0.00037454673138449666,0.0003936044309826315,5.557601261565647e-05,-0.00033802841836697505,522373
