condition,condition_label,seed,img_idx,tile_id,iou_water,f1_water,precision_water,recall_water,accuracy,pred_water_ratio,gt_water_ratio
dice_ce,Dice+CE,2,2,Ghana_167233,0.0012894906511096394,0.002575659755312311,0.9999999500000026,0.0012894906511096394,0.9940727418826433,7.653012417012647e-06,0.005934911129393307
dice_ce,Dice+CE,2,3,Ghana_313799,0.9223789086336925,0.9596223267207868,0.9525136127522792,0.9668380462600664,0.9969782173864697,0.03769828956601855,0.03713976102616491
dice_ce,Dice+CE,2,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9901419584547386,0.00985139865946578,6.642885137873081e-06
dice_ce,Dice+CE,2,5,Ghana_359826,0.5060861908201956,0.6720547022942057,0.6343038919705446,0.7145834856991349,0.891337667442956,0.17553146028363542,0.15581144911598968
dice_ce,Dice+CE,3,0,Ghana_1078550,0.763866749518375,0.8661274508803553,0.944826894797003,0.799530569535661,0.9007686456158807,0.33974817489242365,0.4014896056859339
dice_ce,Dice+CE,3,1,Ghana_141271,0.839753232279045,0.9128976338938808,0.9480233757298397,0.8802819149270122,0.8893547057780915,0.6116124366101239,0.6586786311991725
dice_ce,Dice+CE,3,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce,Dice+CE,3,3,Ghana_313799,0.7074168797881594,0.8286398543534851,0.7760942760855657,0.88881748070837,0.9863470801364402,0.04253409649654619,0.03713976102616491
dice_ce,Dice+CE,3,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9937424021994634,0.006250954914738569,6.642885137873081e-06
dice_ce,Dice+CE,3,5,Ghana_359826,0.39804009752077535,0.5694258175661635,0.5301888577087045,0.6149345425268231,0.8550997965888226,0.18071643866056625,0.15581144911598968
dice_ce,Dice+CE,42,0,Ghana_1078550,0.7613811408375918,0.8645273635021946,0.8245771629473485,0.908545896722729,0.8856795758246924,0.44237428613599467,0.4014896056859339
dice_ce,Dice+CE,42,1,Ghana_141271,0.867464409249791,0.9290290709332641,0.9310932991337408,0.9269740748064536,0.9067128091698106,0.6557645891326835,0.6586786311991725
dice_ce,Dice+CE,42,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce,Dice+CE,42,3,Ghana_313799,0.32379997383997994,0.4891976960409543,0.32886114062907873,0.9546272493450563,0.925959165357422,0.10781032943636355,0.03713976102616491
dice_ce,Dice+CE,42,4,Ghana_319168,0.0001586546089138719,0.00031725885151781,0.0001586546089138719,0.9999999000000099,0.9581365378604874,0.04187010502401403,6.642885137873081e-06
dice_ce,Dice+CE,42,5,Ghana_359826,0.4513087736295412,0.6219334518179145,0.5723374827091675,0.6809405397473819,0.8710079939826497,0.1853772214213678,0.15581144911598968
dice_ce_topo,Dice+CE+Topo,0,0,Ghana_1078550,0.7872324060997635,0.8809513063219582,0.8939415994617196,0.8683332390677327,0.9057756281425278,0.38998830568706927,0.4014896056859339
dice_ce_topo,Dice+CE+Topo,0,1,Ghana_141271,0.8896412612081984,0.9415979977137959,0.929050779210518,0.9544888695945848,0.9220104787771443,0.6767137342629114,0.6586786311991725
dice_ce_topo,Dice+CE+Topo,0,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo,Dice+CE+Topo,0,3,Ghana_313799,0.8961917190545,0.9452542827517197,0.9208826039141669,0.9709511567998592,0.995822970321132,0.039159056516404986,0.03713976102616491
dice_ce_topo,Dice+CE+Topo,0,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9837182885264196,0.01627506858778905,6.642885137873081e-06
dice_ce_topo,Dice+CE+Topo,0,5,Ghana_359826,0.44858968566352847,0.6193467414044245,0.5214716254395081,0.7624515468413572,0.8539716364584581,0.22781427521409403,0.15581144911598968
dice_ce_topo,Dice+CE+Topo,1,0,Ghana_1078550,0.8148762439377012,0.8979964350605784,0.8929619998297319,0.903088060627501,0.9176288928994883,0.4060424401376069,0.4014896056859339
dice_ce_topo,Dice+CE+Topo,1,1,Ghana_141271,0.8882467188506337,0.9408163274457874,0.919196779320832,0.9634774614882481,0.9201560883711976,0.6904093114787186,0.6586786311991725
dice_ce_topo,Dice+CE+Topo,1,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo,Dice+CE+Topo,1,3,Ghana_313799,0.8175517048539122,0.899618599361451,0.862585515441583,0.939974293047044,0.9922092429307987,0.04047183727247123,0.03713976102616491
dice_ce_topo,Dice+CE+Topo,1,4,Ghana_319168,5.18591505468451e-05,0.00010371291225832961,5.18591505468451e-05,0.9999999000000099,0.871911888770952,0.12809475411360663,6.642885137873081e-06
dice_ce_topo,Dice+CE+Topo,1,5,Ghana_359826,0.3489075975957613,0.5173187103493909,0.36838757717668025,0.8683902581698661,0.747508646378351,0.3672901935535335,0.15581144911598968
dice_ce_topo,Dice+CE+Topo,2,0,Ghana_1078550,0.8012063056866313,0.8896329736234821,0.9633121271023394,0.826423844802821,0.9176743077069863,0.3444372537665906,0.4014896056859339
dice_ce_topo,Dice+CE+Topo,2,1,Ghana_141271,0.8837784705077174,0.9383039855964906,0.9560107588137771,0.9212412938970007,0.9202023430071736,0.6347229347305037,0.6586786311991725
dice_ce_topo,Dice+CE+Topo,2,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo,Dice+CE+Topo,2,3,Ghana_313799,0.9277477919415144,0.962519835452369,0.9531190926155877,0.972107969139176,0.9971882623074403,0.037879691997765884,0.03713976102616491
dice_ce_topo,Dice+CE+Topo,2,4,Ghana_319168,0.0,0.0,0.0,0.0,0.9938486883616693,0.0061446687525326,6.642885137873081e-06
dice_ce_topo,Dice+CE+Topo,2,5,Ghana_359826,0.4823553923471043,0.6507958318690551,0.6263019072074046,0.6772836977961044,0.8867509558018274,0.16849470391494356,0.15581144911598968
dice_ce_topo,Dice+CE+Topo,3,0,Ghana_1078550,0.7634201221451746,0.865840271090098,0.9353462422023783,0.8059498897098412,0.8997241050434283,0.3459472961158986,0.4014896056859339
dice_ce_topo,Dice+CE+Topo,3,1,Ghana_141271,0.8402157896654529,0.9131708883708062,0.9478579229711245,0.8809330771238543,0.8896532584284821,0.612171697208743,0.6586786311991725
dice_ce_topo,Dice+CE+Topo,3,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo,Dice+CE+Topo,3,3,Ghana_313799,0.7990905827354422,0.8883271864974385,0.920468642302957,0.8583547557730289,0.9919848767652165,0.03463354321912936,0.03713976102616491
dice_ce_topo,Dice+CE+Topo,3,4,Ghana_319168,0.0,0.0,0.0,0.0,0.989869600164086,0.010123756950118575,6.642885137873081e-06
dice_ce_topo,Dice+CE+Topo,3,5,Ghana_359826,0.40007653828171535,0.5715066176752881,0.6130775352883463,0.5352153879889738,0.8749508566604893,0.1360230646071097,0.15581144911598968
dice_ce_topo,Dice+CE+Topo,42,0,Ghana_1078550,0.7446871919471248,0.8536626530924728,0.7972903320796276,0.9186132006082274,0.8735538222227442,0.4625838754725978,0.4014896056859339
dice_ce_topo,Dice+CE+Topo,42,1,Ghana_141271,0.8844795674827794,0.9386989762472513,0.9502547766528102,0.9274209508238942,0.9202149579078943,0.6428511357615616,0.6586786311991725
dice_ce_topo,Dice+CE+Topo,42,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo,Dice+CE+Topo,42,3,Ghana_313799,0.5641614216914909,0.7213595444486299,0.5709682254153854,0.9793059125838136,0.9719017180715146,0.06370089603253787,0.03713976102616491
dice_ce_topo,Dice+CE+Topo,42,4,Ghana_319168,0.0002796420581577281,0.0005591277047649111,0.0002796420581577281,0.9999999000000099,0.9762516856314553,0.02375495725303414,6.642885137873081e-06
dice_ce_topo,Dice+CE+Topo,42,5,Ghana_359826,0.49193330815169717,0.6594574545244584,0.652285898259096,0.666788561395938,0.892699436489204,0.15927569840519182,0.15581144911598968
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,0,0,Ghana_1078550,0.7999694064837855,0.8888699536802493,0.8904086265581997,0.8873366890987858,0.9109188550916687,0.4001044540572454,0.4014896056859339
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,0,1,Ghana_141271,0.8949961000774614,0.9445888069836015,0.9370147491137107,0.9522864092229131,0.9264088741617708,0.6694139117125149,0.6586786311991725
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,0,2,Ghana_167233,0.0,0.0,0.0,0.0,0.9940650888702263,0.0,0.005934911129393307
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,0,3,Ghana_313799,0.8185084376612028,0.9001975195222909,0.8425417460400925,0.9663239074425922,0.9920421617436631,0.0425961552231966,0.03713976102616491
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,0,4,Ghana_319168,0.0005115089513804855,0.0010224947852237988,0.0005115089513804855,0.9999999000000099,0.9870198024399404,0.012986840444541873,6.642885137873081e-06
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,0,5,Ghana_359826,0.4560041840994644,0.6263775260374564,0.515893114954638,0.7970818401199551,0.8518406673233251,0.24073683670736779,0.15581144911598968
dice_ce_topo_dem_shuffled,Dice+CE+Topo+Shuf,1,0,Ghana_1078550,0.8149901896643166,0.8980656192485552,0.9158337253030461,0.8809739268116029,0.9197066203425188,0.38620752296286204,0.4014896056859339
